post_id,fact_check_id
5034,18020
5034,118724
5311,4536
5311,18020
5311,118724
5035,4536
5035,18020
5035,118724
13076,4536
13076,18020
13076,118724
16972,4629
16972,88257
5552,4629
5552,88257
1766,94326
1767,4685
1767,40524
1767,93185
1767,96649
2411,4685
2411,40524
2411,93185
9896,4685
9896,40524
9896,93185
431,4685
431,40524
431,93185
9251,4700
9251,115264
10793,4700
10793,115264
17974,4700
17974,115264
17691,4803
17691,114028
17186,4803
17186,114028
17187,4803
17187,114028
40,4895
18827,4895
27578,4895
27581,4895
27586,4895
18134,4909
18134,41582
18134,41583
26988,4909
26988,41582
26988,41583
10451,4961
18388,4961
3002,5112
27764,5112
17923,5116
1869,5127
10912,5166
10912,85512
10912,119733
19181,5166
19181,85512
19181,119733
10233,5166
10233,85512
10233,119733
8647,5214
8647,131688
27727,5346
27727,102435
27727,102440
2049,5498
8537,5498
8537,84347
9435,6133
8853,6248
8853,26926
4213,6248
4213,26926
27611,6399
15562,6405
15562,146851
50,6424
50,90502
20781,6424
20781,90502
26978,6425
26978,54261
20943,6425
20943,54261
5767,19000
5767,19801
5767,98205
5767,140676
5767,142879
5767,142880
5767,143491
5767,143646
5767,143648
5767,143651
20946,6429
20946,147727
10351,6429
10351,147727
20945,6429
20945,147727
6408,7111
26986,7168
26986,75527
26986,147404
27339,7168
27339,75527
27339,147404
15551,7168
15551,75527
15551,147404
15637,7168
15637,75527
15637,147404
26940,7276
26940,96768
26939,7276
26939,96768
21505,7281
21505,41402
21505,59296
22870,7355
23682,7372
3275,7679
3275,110500
5701,7679
5701,110500
3447,7690
3666,7698
3667,7698
22128,7698
3886,7714
3903,7715
23053,7719
3912,7743
3919,7750
137,7789
1872,7789
5853,7789
4841,7793
4841,139882
666,7803
7423,7803
11228,7803
6818,7848
6819,7848
23982,7852
23982,72314
23981,7852
23981,72314
12748,7869
16244,7869
19728,7869
21949,78160
21949,78162
6999,7956
6999,54649
15997,7956
15997,54649
5026,7974
3814,8031
3814,67682
3814,139144
1806,8031
1806,67682
1806,139144
19638,8047
19638,154618
21293,8048
7418,8051
23766,8073
2967,8077
20764,8077
20766,8077
4021,8144
24998,8144
25289,8145
25290,8145
10105,8263
10105,51475
10105,80497
15416,8263
15416,51475
15416,80497
27643,115144
27643,141323
27643,141324
23353,8530
13362,8594
13363,8594
22078,138769
26053,138769
26562,138769
26711,138769
19169,8679
19169,117958
21377,8679
21377,117958
15686,8700
15686,8701
16386,8712
20036,8726
20036,137147
25375,8729
18109,8733
21991,8778
6737,8800
21337,8800
4164,8857
4482,8857
4483,8857
25586,8857
19947,8905
12811,8925
2945,8926
4493,8926
2990,8930
13924,8930
17699,8930
10765,8956
26949,8959
27736,8960
4419,8968
4419,71293
11601,8968
11601,71293
21718,8968
21718,71293
15889,9008
15889,126438
11849,9026
18489,9058
4507,9071
4523,9158
14661,9158
13566,9199
5077,9237
27072,9237
17098,9239
12714,39552
4530,9255
4530,59177
17316,9319
25839,9330
4542,9369
4542,151915
21867,9369
21867,151915
12404,9410
14921,9418
11336,9449
11336,154733
24879,9470
24879,144306
18103,9547
21316,9571
19305,9584
19305,41564
27918,144062
14973,9641
26723,105648
2672,132168
2300,15081
25812,15081
2500,104448
26605,104448
26631,104448
27047,9675
21131,9682
8749,9692
17624,9692
18394,9699
16649,9700
16650,9700
20067,9712
26804,9723
335,9728
9011,9758
9739,9758
21424,9758
9309,9759
10398,9759
11075,9759
18153,9759
18507,9789
18507,9790
18507,63129
18506,9789
18506,9790
18506,63129
4602,9902
4603,9902
27909,9902
23821,9922
24251,9922
24386,9922
3353,10030
3354,10030
7996,10030
9807,10045
219,10047
2940,10057
4620,10076
11519,10110
27470,10110
23406,10113
4071,10120
26117,10120
4631,10179
4631,142849
4541,10212
4541,27740
13479,10291
19691,10299
209,10340
209,71397
12919,10340
12919,71397
19229,10382
6916,10388
8297,10388
27570,10388
4655,10411
20912,10412
4657,10421
4657,10423
27314,10441
4660,10445
291,10453
20353,10454
20369,10454
7059,10497
4665,10498
5159,10512
12575,10512
17512,10520
3364,10537
2556,10545
8204,10564
3045,94961
26656,94961
4674,10613
9839,10637
13589,10639
13590,10639
6875,10640
11852,10640
2550,10652
14140,10666
14141,10666
14142,10666
12920,10695
310,103687
24192,103687
20733,10758
4686,10782
13272,10822
21716,10822
27317,10822
7125,10826
7125,33784
7125,33812
19208,10826
19208,33784
19208,33812
19207,10826
19207,33784
19207,33812
5400,10827
16656,10834
169,10859
1503,10859
2274,10859
7845,10890
7845,30601
7041,10891
20344,10908
25675,10908
12083,10909
13663,10909
4705,10980
20441,10987
1853,11021
1853,116674
21598,11021
21598,116674
1331,11042
1331,155747
13343,11042
13343,155747
14509,11079
593,11080
1645,11080
3799,11080
14201,11081
9159,11090
12388,11108
14020,11114
15599,11120
15699,11120
10887,11144
331,11149
25975,11437
23438,11501
576,11550
19201,11550
21162,11699
834,11734
834,27279
834,27280
18310,11734
18310,27279
18310,27280
24177,11744
24178,11744
20101,11758
20101,30847
20101,63973
3462,11758
3462,30847
3462,63973
9268,11758
9268,30847
9268,63972
9268,63973
3156,11764
8607,11764
19888,11764
1265,11780
1265,40417
5891,11797
6249,11797
15118,11808
15118,194416
17631,11808
17631,194416
21589,11808
21589,194416
1594,11815
15822,11815
18465,11815
18564,11847
19605,11847
4820,11873
7123,11875
7124,11875
11834,11875
7917,11896
7917,33833
9706,11972
4229,119212
12783,11978
12783,119212
4228,11978
4228,119212
687,12042
25652,12042
2123,12049
2123,12050
19934,12049
19934,12050
20194,12049
20194,12050
17206,12049
17206,12050
16176,12056
16176,28599
16176,85571
26873,12056
26873,28599
26873,85571
5841,12091
5841,103525
4467,12091
4467,103525
6713,12091
6713,103525
16642,12117
4180,12120
4180,14094
14761,12120
14761,14094
12036,12222
7172,12223
5766,12231
5766,103552
11014,12231
11014,103552
25630,12260
10357,12294
2159,12302
2159,61285
10375,12302
10375,61285
4834,12303
9091,12303
17205,12303
2328,77291
4146,12310
8482,12310
11222,12310
11256,12310
19127,113128
19128,113128
19126,113128
2812,12402
2812,132527
2812,139066
24054,12419
15196,12441
22486,12442
22490,12442
4844,12443
10383,12444
10385,12444
12159,12444
16372,12444
5078,12511
27723,12511
11351,12526
13843,12526
19684,12526
13941,12532
13941,86998
13941,86999
26966,12532
26966,86998
26966,86999
11314,12532
11314,86998
11314,86999
4864,12594
10914,12617
20054,12621
20054,91121
5692,12627
18362,12627
1532,12648
1532,93241
4946,12648
4946,93241
4947,12648
4947,93241
4868,12687
4869,12687
4870,12687
2907,12698
6426,12698
15388,12698
26905,12698
4871,12709
6499,12709
2778,12718
4872,12718
9728,12718
19192,12742
3325,12757
9014,12757
10020,12757
14213,12764
15617,12764
18815,12764
17038,12765
8145,12777
13130,12778
20625,12778
16950,12789
10475,12891
14431,12907
14431,56283
14431,121262
14432,12907
14432,56283
14432,121262
19275,12925
16907,12946
16907,107213
18925,12946
18925,107213
6035,12973
6035,95537
6035,95539
6035,142835
19640,12973
19640,95537
19640,95539
19640,142835
19816,13026
22393,13027
830,13039
830,71950
15873,13039
15873,71950
24612,13039
24612,71950
4357,13118
8093,13118
5672,13138
9869,13138
16160,13138
20517,13138
14703,13146
14703,90551
14139,13146
14139,90551
28064,13217
1000,13223
1001,13223
4836,13223
10907,13223
4904,13226
18958,13226
17371,13235
3367,13236
4905,13236
11040,13236
11041,13236
5878,13277
5878,24204
1763,13279
1763,24667
1763,120019
1763,139090
15837,13349
5605,13377
20658,13435
556,13440
2376,13440
2377,13440
2378,13440
5666,13440
10869,13440
557,13456
1813,13456
2342,13456
11579,13456
18966,13456
20513,13456
10382,13459
11493,13459
15810,13459
5309,13461
12538,13476
26775,13509
5376,13510
13645,13510
14206,13510
21774,13510
28082,13510
9004,13531
15181,13640
15181,94218
2055,13714
300,13729
300,13730
300,146962
13052,13729
13052,13730
13052,146962
19320,13745
19320,105692
5846,13745
5846,105692
21240,13745
21240,105692
14484,61816
19135,61816
3365,61816
25691,61816
1288,64798
6579,64798
16049,64798
8190,64798
18901,13824
2547,13856
2547,41333
9609,13883
9609,82636
682,25019
5824,13890
5824,25019
4010,13902
24644,13902
24658,13902
71,13904
22005,13904
4933,13907
17785,13907
19946,13914
15576,13929
15576,36895
17837,13929
17837,36895
8375,13953
8376,13953
473,13954
1111,13956
10350,14002
8956,14018
8956,47952
8956,47954
8957,14018
8957,47952
8957,47954
15635,14070
10496,14073
9732,14083
9732,45791
9732,45801
9862,14083
9862,45791
9862,45801
14601,14083
14601,45791
14601,45801
27049,14083
27049,45791
27049,45801
4803,14084
26700,14096
26566,14096
4830,14103
4831,14103
6104,14103
6105,14103
15530,14119
7515,80549
7515,80550
14478,14125
14479,14125
257,80549
257,80550
21892,80549
21892,80550
18251,14166
18251,77486
18252,77486
19492,14177
26908,14178
26908,144114
26909,14178
26909,144114
26910,14178
26910,144114
4117,14187
26340,14191
21217,14208
15114,14210
4962,14252
15636,14266
15636,113416
16744,14266
16744,113416
35,14267
2916,14267
2917,14267
2918,14267
2919,14267
4966,14304
2295,14330
2295,56981
15964,14330
15964,56981
14842,14331
19187,14331
19941,14332
19942,14332
1684,14333
2511,14333
9703,14333
10941,14333
4398,14335
16609,14335
3000,14336
3001,14336
21597,14336
1950,14339
11930,14339
4382,14340
10479,14340
12588,14340
1952,14342
12175,14342
18701,14342
822,14343
1923,14344
21177,14344
21187,14381
12644,77131
15640,77131
6708,77131
24149,14414
24149,104214
24149,105762
24147,14414
24147,104214
24147,105762
9117,14495
11998,14495
12439,14537
12440,14537
4178,14545
3633,14559
19139,14559
20622,14573
16851,14576
27094,14576
15626,14580
15626,28474
10547,14593
13828,14593
14288,14593
24688,14596
24718,14596
4993,14623
14556,14624
14556,50200
215,14629
5002,14742
6833,14742
7876,14742
3407,14765
18359,14765
12355,14772
15124,14772
8678,14807
22295,14821
5005,14841
6840,14841
21756,14841
22401,14841
22402,14841
367,14857
1627,14857
21906,14857
8625,14874
14857,14874
15044,14874
10764,14893
10764,43276
10764,95015
2260,14893
2260,43276
2260,95015
2259,14893
2259,43276
2259,95015
27991,14922
27991,72965
5711,14990
26021,14990
11593,15041
11593,23881
11593,25760
11593,35657
11593,59999
12272,15041
12272,23881
12272,25760
12272,35657
17902,59999
12080,15041
12080,23881
12080,25760
12080,35657
19692,15041
19692,23881
19692,25760
19692,35657
19533,15061
368,15093
368,15094
368,87271
5011,15093
5011,15094
5011,87271
5012,15093
5012,15094
5012,87271
19778,15093
19778,15094
19778,87271
3504,15093
3504,15094
3504,87271
14421,15211
27171,15245
27171,19433
27171,41195
27171,102246
11455,15245
11455,19433
11455,41195
11455,102246
14072,15298
14072,87295
12372,87295
2527,15315
23788,15315
25573,15315
9864,15333
15439,15333
22417,15357
22417,59233
9727,15357
9727,59233
10976,15397
21248,15472
4201,15559
6931,15559
5017,15603
7302,15603
17293,15603
15691,15605
21813,15605
14155,15627
14155,44138
14155,50043
14156,15627
14156,44138
14156,50043
11144,15627
11144,44138
11144,50043
14154,15627
14154,44138
14154,50043
27135,15633
21859,15645
20740,15675
20740,110100
11371,15682
10214,15688
10214,102225
3463,15688
3463,102225
8846,15690
4941,15695
28025,15776
28025,102905
28025,103448
10240,15776
10240,102905
10240,103448
12331,15776
12331,102905
12331,103448
11975,15781
11975,68337
2175,15784
24028,15784
1464,15788
13936,15793
19836,15794
4851,15808
12137,59407
12138,59407
11543,15830
263,59447
264,59447
7044,59447
510,15839
513,15839
12600,15839
22958,15846
23848,15848
3267,15908
3267,91944
8786,15908
8786,91944
20169,15959
20169,68998
20169,104913
20169,136408
20170,15959
20170,68998
20170,104913
20170,136408
15789,15970
15789,62388
15307,15970
15307,62388
15790,15970
15790,62388
26314,15970
26314,62388
19570,15994
19570,21711
19570,68575
19570,106154
19570,132124
21574,15994
21574,21711
21574,68575
21574,106154
21574,132124
19912,15994
19912,21711
19912,68575
19912,106154
19912,132124
18356,15994
18356,21711
18356,68575
18356,106154
18356,132124
4545,16020
11965,16033
11966,16033
11967,16033
17382,16033
21075,62891
16340,16188
27645,17368
27645,150293
20122,17368
20122,150293
23771,17430
2258,17530
2258,25903
26974,17530
26974,25903
12081,17563
12081,34734
19656,17633
15867,17636
16601,17639
16601,106412
10403,17639
10403,106412
12875,17652
3464,17654
17167,17654
18829,17654
20806,17654
4866,17672
4867,17672
4981,17672
8161,17672
17609,17672
18727,17672
5062,17675
5063,17675
11032,17678
20665,17678
21290,17687
21290,142409
21290,144994
3778,17716
20796,17770
20796,61405
12274,17779
23062,17799
12012,17804
12012,87426
24339,17878
24340,17878
24341,17878
1652,17917
7372,17918
16741,17918
870,17920
871,17920
6904,17920
799,17934
799,114260
4390,17934
4390,114260
11261,17934
11261,114260
563,18010
563,47489
563,70000
16634,18010
16634,47489
16634,70000
21194,18010
21194,47489
21194,70000
8509,18014
8509,196493
25700,18014
25700,196493
370,18017
5031,18017
5032,18017
7989,18017
19108,18017
16571,18072
16571,65485
16571,69245
16571,103072
16571,103382
16571,104273
16570,18072
16570,65485
16570,69245
16570,103072
16570,103382
16570,104273
17864,18089
19395,18135
11059,18212
14101,18212
21067,18212
16911,74571
11404,18354
19667,18384
11757,18430
5466,18449
5466,49082
23928,18477
5934,18533
17332,18533
16298,18557
17657,18557
18087,18557
1538,18560
16066,18561
16066,147830
16068,18561
16068,147830
16069,18561
16069,147830
20232,18563
20233,18563
20234,18563
28007,18564
16060,18565
1557,18570
2808,18570
1044,18571
1045,18571
20504,18578
5115,18603
5115,41507
5115,140179
20719,18603
20719,41507
20719,140179
14955,18605
18199,18605
8604,18606
8604,76950
8604,118366
8604,139349
9090,18606
9090,76950
9090,118366
9090,139349
9867,18606
9867,76950
9867,118366
9867,139349
12705,18606
12705,76950
12705,118366
12705,139349
12707,18606
12707,76950
12707,118366
12707,139349
20455,18606
20455,76950
20455,118366
20455,139349
26993,18606
26993,76950
26993,118366
26993,139349
8304,18606
8304,76950
8304,118366
8304,139349
23536,18607
20646,18785
2665,18790
26476,18790
18051,18819
18051,144097
21079,140369
20009,140369
20008,140369
21078,140369
23043,18832
23044,18832
23045,18832
18344,18841
12105,101514
11064,18848
21288,18848
19228,18857
3700,18858
3700,130567
3700,143480
1155,18876
13455,18876
23251,18886
23252,18886
5572,18964
18610,18972
18610,21452
19927,18973
10911,19033
10911,142955
6400,134314
20172,19141
20172,140313
20172,143499
20172,143674
4892,19157
4892,136387
21224,19228
21224,142150
12320,19228
12320,142150
17866,19405
17737,19590
17737,57945
17737,140587
17737,144435
11073,19720
11073,103955
7966,19731
7966,69011
7966,69268
7966,69725
7966,104370
8669,19731
8669,69011
8669,69268
8669,69725
8669,104370
20739,19808
20739,57957
18180,19808
18180,57957
20738,19808
20738,57957
14279,19816
14279,142954
11225,19816
11225,142954
10568,19851
11971,19873
19381,19873
5864,19952
17958,19952
23834,19957
23835,19957
23836,19957
7421,19987
2538,20033
23870,20037
23870,86293
5121,20071
26483,20071
26484,20071
10421,20097
23859,20190
23859,20220
23859,20708
18014,20190
18014,20220
18014,20708
23871,20190
23871,20220
23871,20708
23858,20190
23858,20220
23858,20708
23878,20190
23878,20220
23878,20708
5171,20410
15859,20410
12089,20482
22288,20487
9391,20493
12369,20493
15352,20493
16751,20494
16751,51365
16752,20494
16752,51365
419,20496
9225,20496
9354,20496
9806,20496
14586,20498
5214,20500
5216,20500
22303,20503
22196,20505
16198,20508
9060,20510
3739,20511
9773,20511
15260,20511
15719,20512
17240,20512
3100,20513
5786,20513
7782,20513
5540,20517
19762,20518
21469,20518
3077,20533
12441,20607
5296,20626
4022,20642
5318,20642
24958,20642
27629,20642
1127,20654
19255,20654
7234,20739
6482,20752
6546,20752
17580,20783
26046,20783
21242,20793
5380,20801
129,20820
10289,20851
17971,20851
17973,20851
890,20859
1565,20859
18817,20859
18834,20859
9236,20895
12517,20895
15171,20896
22307,20896
5134,20898
5135,20898
5136,20898
9245,20898
74,20932
2564,20932
24720,20932
80,21053
78,21054
2257,21055
19665,21055
20388,21055
26306,21056
7887,21057
7888,21057
1164,21058
1164,34522
11421,21058
11421,34522
11733,21058
11733,34522
13729,21058
13729,34522
1063,21059
1063,114957
10205,21059
10205,114957
139,21060
140,21060
2347,21060
4524,21060
10407,21060
15908,21060
378,21061
2326,21061
7014,21061
19538,21061
6300,21168
8423,21174
5784,21199
5784,32242
18301,21199
18301,32242
10925,21345
10925,34241
3646,21350
3646,39500
18922,21350
18922,39500
27574,21386
27574,54459
27574,137302
27574,147275
19241,21450
21848,21457
21848,136868
13842,21472
5951,21498
10812,21498
10813,21498
17403,21505
5448,21553
5449,21553
11010,21553
2429,21562
2429,42668
12862,21562
12862,42668
21606,21562
21606,42668
2690,21608
3181,21617
7157,21617
3312,21632
3313,21632
12211,21641
12838,21641
21775,21663
10417,21666
25955,21666
14933,21671
2000,21682
22420,21682
12434,21689
1328,21704
1328,80348
16126,21704
16126,80348
3352,21708
3352,144709
22274,21722
15244,21728
15244,59219
26814,21741
26815,21741
9790,21743
27249,21743
28087,21743
5472,21769
25518,21769
24566,21772
24566,106111
24567,21772
24567,106111
25577,21779
19797,21781
13102,21784
14577,21784
5465,21785
10070,21785
9669,21786
10120,21786
16357,21786
3520,21787
8725,21797
8760,21797
26953,21797
10072,21800
15951,21800
17808,21801
20804,21801
15501,21805
6444,21808
3777,21816
11639,21816
21012,21817
2185,21832
8312,21832
5481,21866
16382,21866
24038,21957
24038,72206
24037,21957
24037,72206
7970,21981
6044,21986
16724,21986
3282,21987
25875,21987
4295,21996
4720,21996
7664,21996
7829,21996
10155,22004
14655,22018
14655,53799
18413,22050
3300,22060
13133,22060
16320,22061
16320,100378
13111,22078
13111,81842
16297,22078
16297,81842
7551,22093
19650,107214
21243,107214
15338,22134
3935,22146
5554,22146
23597,22146
12124,22184
20773,22184
3579,22186
11278,22186
18241,22186
2128,22188
5950,22188
11305,22188
12690,22188
14166,22188
14166,118568
15708,22188
21059,22188
21059,118568
18247,22189
5558,22190
18177,22195
19559,22195
5561,22218
6533,22219
6956,22219
6957,22219
5562,22220
4381,22228
25971,22255
23822,22598
23822,141529
23822,143209
19627,22598
19627,141529
19627,143209
23885,22598
23885,141529
23885,143209
7595,22612
21350,22612
23424,22635
23424,173580
20392,22677
12074,22678
14722,22678
5608,22679
26124,22680
2898,22683
2898,22694
2898,50133
2898,50134
2898,102429
2898,141672
5610,22683
5610,22694
5610,50133
5610,102429
5610,141672
6890,22683
6890,22694
11832,102429
11832,141672
18434,22683
18434,22694
7007,50133
7007,50134
19782,50133
19782,50134
4898,22685
9189,22690
9190,22690
9191,22690
4204,22697
7117,22697
7118,22697
7119,22697
7402,22697
10207,22697
9266,22698
14400,22698
776,22725
776,61729
777,22725
777,61729
18382,22725
18382,61729
21174,22725
21174,61729
22014,22725
22014,61729
27255,22727
14881,22728
5364,22729
5612,22730
17540,22730
5183,22731
9335,22733
9052,22734
17002,22735
9394,22736
14865,22737
17244,22737
721,22738
916,22738
14446,22738
17811,22738
11445,22742
15796,22752
15796,82609
27153,22752
27153,82609
12048,22787
12048,52729
12048,54411
26886,22787
26886,52729
26886,54411
3808,22787
3808,52729
26885,22787
26885,52729
11726,22787
11726,52729
13860,22787
13860,54411
246,22822
5617,22837
5617,22838
5617,70097
450,22843
2199,22843
5619,22843
8854,22843
12626,22843
16024,22843
451,22847
452,22847
453,22847
9840,22847
14872,22847
14873,22847
21453,22847
5185,22848
5620,22848
4470,22851
5618,22851
6127,22875
6127,27397
6127,60003
17879,22875
17879,27397
17879,60003
9447,22875
9447,60003
3276,22881
5193,22881
14856,22881
18212,22881
13314,22891
5162,22903
5162,26138
562,22909
11659,22909
21301,22909
27807,22932
9382,22956
11540,22972
18919,22972
11649,22973
4924,22975
5200,22975
5640,22975
25592,22975
5199,22976
5641,22976
16874,22976
10163,23000
11052,23000
10751,23008
27902,23008
14159,23033
14352,142270
2177,23060
5700,23063
20111,23084
20111,135902
15781,23086
15781,135434
12332,23145
754,23178
7842,23178
8487,23178
10829,23178
19449,23179
461,23206
10890,23206
7552,23220
844,23228
14363,23228
14415,23316
14416,23316
5371,23317
5596,23317
5597,23317
5598,23317
4341,23320
21720,23320
1865,23335
18352,23335
19037,23335
22081,23335
151,23369
9472,23374
11166,23374
11807,23374
11808,23374
27166,23374
2161,23484
2161,23485
11099,23484
11099,23485
1430,23486
8905,23486
19779,23486
11325,23490
11325,23636
11325,136101
15238,23532
6328,23533
13203,23533
27734,23533
5801,23542
5022,23547
11570,23547
13857,23547
18653,23547
7079,23549
11665,23594
11665,23595
11665,125233
11665,125260
1501,23602
1501,112859
1501,197155
1502,23602
1502,112859
1502,197155
19199,23634
19199,89229
13444,43607
19134,43607
13445,23643
13445,43607
19753,23651
11851,23661
11851,23679
13848,23677
16397,23677
7518,23694
21776,23694
259,23791
259,23795
6668,23791
6668,23795
19200,23791
19200,23795
27619,23791
27619,23795
2958,23874
2959,23874
15452,23882
5730,23922
25964,24021
12229,24099
12230,24099
12231,24099
12232,24099
21046,24183
21047,24183
18560,24188
20007,24188
1781,24298
1781,135940
12607,24298
12607,135940
21305,24342
5901,24362
5901,56833
5901,56842
5972,24388
17443,24388
4656,24430
12034,24430
13721,24430
406,24505
18893,24505
11581,24509
11655,24509
2344,24521
10684,24521
15065,24526
15065,104513
27095,24526
27095,104513
19496,24527
19496,104190
19496,106003
19496,136398
15316,24527
15316,104190
15316,106003
15316,136398
333,24529
698,24529
2643,24529
10823,68215
12209,24540
12209,68215
20063,24540
4108,24622
4108,51894
4108,133812
821,24622
821,51894
821,133812
1423,24630
1423,76927
1423,77012
2364,24630
2364,76927
2364,77012
16932,24655
19965,24657
19965,112675
19964,24657
19964,112675
5599,24657
5599,112675
16082,24677
16082,131786
16082,136386
18080,24703
18080,132051
16651,24781
19751,24781
2071,24817
2071,69301
12415,24868
12415,74401
25146,193295
24948,193295
23902,24971
5821,24997
14259,24997
27927,193556
12140,25010
12141,25010
12142,25010
11724,132098
18276,25014
6097,25016
8472,25016
6098,25017
6098,145158
14354,25017
14354,145158
8637,25021
8713,25021
5825,25022
5826,25022
12115,25022
9684,25057
24628,25058
24629,25058
1148,25107
7800,25107
8672,25107
20080,25108
20081,25108
20069,25109
9227,25179
11368,25179
21416,25179
2455,25180
7346,25180
16612,25180
2217,25181
5863,25181
6045,25181
3632,25182
17083,25182
18120,25182
2485,25183
2486,25183
6991,25183
7708,25183
7258,25184
2786,25292
14801,25292
96,25311
96,45723
5378,25311
5378,45723
10851,25311
10851,45723
2994,25329
2995,25329
11923,25329
26025,25329
10891,25383
21149,25383
15792,25386
16610,25386
5881,25389
5881,25392
5882,25389
5882,25392
18346,25408
18346,25409
21824,25428
4828,25430
21605,25435
6722,25440
8807,25444
5884,25457
5885,25457
8543,25517
8543,25532
21345,25517
21345,25532
3846,25518
3846,25523
27759,25518
27759,25523
5888,25519
5888,25529
9109,25531
21203,25544
21207,25544
13782,25562
21468,25562
2615,25569
24791,25569
4113,25578
10961,25578
11848,25578
7204,25595
8009,25600
7330,25604
25638,25604
7666,25631
16895,25636
13483,25640
13483,84504
8739,25646
8739,56839
8739,56844
8739,97623
10473,25646
10473,56839
10473,56844
10473,97623
19813,25646
19813,56839
19813,56844
19813,97623
22242,25647
13543,25648
21715,25652
2255,25670
7529,25670
24234,25686
24234,144160
24232,25686
24232,144160
421,25696
421,113903
12050,25696
12050,113903
19536,25696
19536,113903
25541,25701
25542,25701
25178,193342
25172,193545
2242,25712
7102,25718
7370,25718
5230,25747
22096,25751
1254,25757
19811,25757
6990,25763
6990,194850
5479,25763
5479,194850
18967,25769
18967,55097
14626,25778
16748,25794
1636,25796
1636,96466
5267,25796
5267,96466
1568,25796
1568,96466
8850,25912
8851,25912
8231,25915
8232,25915
17703,25915
13831,25942
9023,25957
9023,154086
20560,25983
20560,25984
20560,47593
212,25983
212,25984
212,47593
18813,25983
18813,25984
18813,47593
8984,25983
8984,25984
8984,47593
16163,25983
16163,25984
16163,47593
211,25983
211,25984
211,47593
415,26005
3755,26005
5037,26005
20669,26005
12425,26009
20535,26009
10463,26030
10463,147464
26363,26060
4020,26093
25039,26093
25103,26093
25309,193380
4028,193270
25230,193270
25247,193270
15080,26119
5589,26132
5168,26134
5168,52598
27932,26134
27932,52598
5244,26134
5244,52598
5245,26134
5245,52598
3664,26134
3664,52598
8717,26147
15496,26155
20714,26155
2015,26156
2015,26166
2283,26156
2283,26166
2284,26156
2284,26166
2285,26156
2285,26166
18236,26156
18236,26166
5983,26158
5984,26158
5985,26158
11024,26181
11025,26181
15597,26181
10396,26225
26035,26225
26848,26225
17251,26229
20193,26229
25789,26249
25789,80980
20296,26249
20296,80980
22293,26249
22293,80980
25790,26249
25790,80980
20601,26263
20601,52968
20601,59302
19292,26271
23804,26272
23804,105574
3133,26502
20676,26503
7114,26505
7115,26505
11913,26507
4600,26512
4600,118442
